HR 5646,Kap1Lup,15 11 56.09,-48 44 16.1,3.87
HR 2608,,06 56 16.01,-48 43 16.0,4.95
HR 4802,Tau Cen,12 37 42.19,-48 32 28.0,3.86
HR 3294,,08 22 31.61,-48 29 25.1,4.82
HR 4940,,13 06 16.70,-48 27 49.0,4.71
HR 2762,,07 14 38.21,-48 16 18.1,4.76
HR 4167,,10 37 18.10,-48 13 32.9,3.84
HR 2462,,06 38 37.61,-48 13 13.1,4.93
HR 3090,,07 53 18.19,-48 06 11.2,4.24
HR 7424,Iot Tel,19 35 13.01,-48 05 57.1,4.90
HR 5683,Mu Lup,15 18 31.99,-47 52 30.0,4.27
HR 721,Kap Eri,02 26 59.11,-47 42 14.0,4.25
HR 6115,Eps Nor,16 27 11.09,-47 33 18.0,4.47
HR 5469,Alp Lup,14 41 55.80,-47 23 17.9,2.30
HR 574,,01 57 10.01,-47 23 06.0,4.83
HR 3206,Gam1Vel,08 09 29.30,-47 20 44.9,4.27
HR 3207,Gam2Vel,08 09 31.99,-47 20 12.1,1.78
HR 3452,,08 41 13.10,-47 19 00.8,4.77
HR 7869,Alp Ind,20 37 34.01,-47 17 29.0,3.11
HR 5231,Zet Cen,13 55 32.40,-47 17 17.9,2.55
HR 3614,,09 04 09.31,-47 05 52.1,3.75
HR 3046,,07 48 20.30,-47 04 40.1,4.71
HR 5606,Pi Lup,15 05 07.20,-47 03 04.0,4.82
HR 5605,Pi Lup,15 05 07.20,-47 03 04.0,4.72
HR 8425,Alp Gru,22 08 13.99,-46 57 40.0,1.74
HR 8636,Bet Gru,22 42 40.10,-46 53 04.9,2.10
HR 2740,,07 12 33.60,-46 45 33.8,4.49
HR 322,Bet Phe,01 06 04.99,-46 43 07.0,3.31
HR 3445,,08 40 37.61,-46 38 56.0,3.84
HR 3912,,09 51 40.80,-46 32 52.1,4.58
HR 6537,1Sig Ara,17 35 39.60,-46 30 20.2,4.59
HR 3055,,07 49 14.30,-46 22 23.9,4.11
HR 555,Psi Phe,01 53 38.81,-46 18 09.0,4.41
HR 7952,Zet Ind,20 49 28.99,-46 13 36.8,4.89
HR 180,Mu Phe,00 41 19.61,-46 05 06.0,4.59
HR 5354,Iot Lup,14 19 24.19,-46 03 28.1,3.55
HR 3487,,08 46 01.70,-46 02 30.1,3.91
HR 6897,Alp Tel,18 26 58.39,-45 58 05.9,3.51
HR 6783,Eps Tel,18 11 13.80,-45 57 15.8,4.53
HR 6934,Del1Tel,18 31 45.41,-45 54 54.0,4.96
HR 25,Eps Phe,00 09 24.70,-45 44 51.0,3.88
HR 5260,Ups2Cen,14 01 43.39,-45 36 13.0,4.34
HR 370,Nu Phe,01 15 11.09,-45 31 53.0,4.96
HR 8959,,23 37 51.00,-45 29 33.0,4.74
HR 5396,Tau2Lup,14 26 10.80,-45 22 45.8,4.35
HR 3520,,08 49 47.69,-45 18 29.2,4.93
HR 5626,Lam Lup,15 08 50.59,-45 16 46.9,4.05
HR 8820,Iot Gru,23 10 21.60,-45 14 48.1,3.90
HR 5395,Tau1Lup,14 26 08.21,-45 13 17.0,4.56
HR 5364,,14 20 42.50,-45 11 13.9,4.77
HR 2746,,07 13 13.39,-45 10 59.2,4.89
HR 4546,,11 51 08.71,-45 10 25.0,4.46
HR 5980,Del Nor,16 06 29.40,-45 10 23.9,4.72
HR 5781,,15 35 53.21,-44 57 31.0,4.54
HR 5249,Ups1Cen,13 58 40.80,-44 48 13.0,3.87
HR 7343,Bet2Sgr,19 23 13.20,-44 47 58.9,4.29
HR 3359,,08 29 27.60,-44 43 30.0,4.99
HR 5708,Eps Lup,15 22 40.90,-44 41 21.8,3.37
HR 5825,,15 41 11.30,-44 39 40.0,4.64
HR 5651,,15 12 49.51,-44 30 02.2,4.82
HR 7337,Bet1Sgr,19 22 38.30,-44 27 32.0,4.01
HR 6675,,17 56 47.40,-44 20 31.9,4.86
HR 6155,Mu Nor,16 34 04.99,-44 02 43.1,4.94
HR 8560,Del2Gru,22 29 45.50,-43 44 57.8,4.11
HR 100,Kap Phe,00 26 12.19,-43 40 48.0,3.94
HR 5528,Omi Lup,14 51 38.40,-43 34 32.2,4.32
HR 8787,The Gru,23 06 52.80,-43 31 14.2,4.28
HR 8556,Del1Gru,22 29 16.20,-43 29 44.2,3.97
HR 3634,Lam Vel,09 07 59.81,-43 25 57.0,2.21
HR 429,Gam Phe,01 28 21.89,-43 19 05.9,3.41
HR 2878,Sig Pup,07 29 13.80,-43 18 05.0,3.25
HR 6380,Eta Sco,17 12 09.19,-43 14 21.1,3.33
HR 2451,Nu Pup,06 37 45.70,-43 11 46.0,3.17
HR 5571,Bet Lup,14 58 31.90,-43 08 02.0,2.68
HR 1008,,03 19 55.70,-43 04 10.9,4.27
HR 6553,The Sco,17 37 19.20,-42 59 52.1,1.87
HR 3426,,08 37 38.71,-42 59 21.1,4.14
HR 3226,,08 11 25.90,-42 59 13.9,4.75
HR 789,,02 39 48.00,-42 53 30.1,4.75
HR 2120,Eta Col,05 59 08.81,-42 48 55.1,3.96
HR 3477,,08 44 24.00,-42 38 57.1,4.07
HR 8949,Iot Phe,23 35 04.61,-42 36 54.0,4.71
HR 5797,Ome Lup,15 38 03.19,-42 34 03.0,4.33
HR 5193,Mu Cen,13 49 37.01,-42 28 26.0,3.04
HR 6262,Zet1Sco,16 53 59.69,-42 21 43.9,4.73
HR 6271,Zet2Sco,16 54 34.99,-42 21 41.0,3.62
HR 6951,The CrA,18 33 30.19,-42 18 45.0,4.64
HR 99,Alp Phe,00 26 16.99,-42 18 22.0,2.39
HR 1326,Alp Hor,04 14 00.10,-42 17 39.8,3.86
HR 4293,,11 00 09.31,-42 13 32.9,4.39
HR 5440,Eta Cen,14 35 30.41,-42 09 28.1,2.31
HR 4023,,10 14 44.21,-42 07 18.8,3.85
HR 5576,Kap Cen,14 59 09.70,-42 06 15.1,3.13
HR 5248,Phi Cen,13 58 16.30,-42 06 02.9,3.83
HR 7188,Zet CrA,19 03 06.89,-42 05 43.1,4.75
HR 1302,Del Hor,04 10 50.59,-41 59 37.0,4.93
HR 7581,Iot Sgr,19 55 15.70,-41 52 05.9,4.13
HR 1502,Alp Cae,04 40 33.70,-41 51 50.0,4.45
HR 5943,,15 59 30.31,-41 44 39.8,4.99
HR 6682,,17 57 47.71,-41 42 58.0,4.88
HR 5190,Nu Cen,13 49 30.31,-41 41 16.1,3.41
HR 4080,,10 22 19.61,-41 39 00.0,4.83
HR 8644,Rho Gru,22 43 30.00,-41 24 51.8,4.85
